Comment,Designator,Footprint
0.1,C1,C_0805_2012Metric
10,C2,C_1206_3216Metric
1,"C3, C5, C6",C_0805_2012Metric
4.7,C4,C_1206_3216Metric
4.7n,C7,C_0805_2012Metric
BAT54_C8590,D1,SOT-23-3
560k,R1,R_0805_2012Metric
1.1k,R2,R_0805_2012Metric
2k,R3,R_0805_2012Metric
10k,R4,R_0805_2012Metric
5.1k,"R5, R6",R_0805_2012Metric
1M,R7,R_0805_2012Metric
TLV75533PDBVR,U2,SOT-23-5
BQ24040DSQT,U3,WSON-10_L2.0-W2.0-P0.40-TL-EP
MAX98357AETE+T,U4,TQFN-16_L3.0-W3.0-P0.50-BL-EP1.5
105450-0101,USB-C-Port1,USB-C-SMD_TYPE-C-USB-18